query,locale,landing,reason,added
seguro de vida en tenerife,es,/es/blog/life-insurance-spain/,"121 пок./90д, поз. 77.8, 0 кликов — крупнейший гео-кластер линии vida; backlog закрывает его разделом в life-insurance-spain, а не отдельной страницей",2026-09-23
seguros de vida en tenerife,es,/es/blog/life-insurance-spain/,"93 пок., поз. 82.0 — множественное число того же кластера; держим обе формы, чтобы увидеть, расходятся ли они в выдаче",2026-09-23
asegurar el futuro de la familia en tenerife,es,/es/blog/family-insurance-tenerife/,"84 пок., поз. 33.5 — гео-кластер семейной линии, ближе к топ-20, чем кластер vida",2026-09-23
seguro digital nomad visa,es,/es/blog/digital-nomad-visa-insurance/,"76 пок., поз. 29.8 — ядро лучшего кластера сайта (329 пок./90д по всем локалям)",2026-09-23
cambiar de mutua medica,es,/es/blog/how-to-switch-health-insurance-spain/,"52 пок., поз. 51.0 — коммерческий интент смены страховщика, продукт salud",2026-09-23
seguro dnv,es,/es/blog/digital-nomad-visa-insurance/,"47 пок., поз. 4.3 — единственная фраза сайта в топ-5; контрольная точка ряда: если Rush покажет её вне топ-10, врёт регион, а не выдача",2026-09-23
seguros para visa nomada digital espana,es,/es/blog/digital-nomad-visa-insurance/,"39 пок., поз. 53.9 — развёрнутая форма кластера DNV",2026-09-23
seguro dental que cubra implantes,es,/es/blog/dental-implants-insurance-spain/,"38 пок., поз. 39.7 — линия dental, статья переписана 2026-09-22 (SEGU-29), нужен ряд «после»",2026-09-23
cuadro médico,es,/es/blog/what-is-cuadro-medico-spain/,"37 пок., поз. 53.1 — информационное ядро линии salud, высокая конкуренция брендов",2026-09-23
precio de implantes con seguro dental,es,/es/blog/dental-implants-insurance-spain/,"34 пок., поз. 46.8 — ценовой интент линии dental; цены в статье не называются, ведём на расчёт",2026-09-23
cuanto cuesta un seguro medico,es,/es/blog/health-insurance-cost-spain/,"34 пок., поз. 18.7 — на расстоянии удара (поз. 5–20, показы есть, кликов нет)",2026-09-23
